,number,auprc,latency,datetime_start,datetime_complete,duration,params_alpha,params_gamma,params_lambda,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state,experiment
61,61,0.8310143170181441,0.571058988571167,2021-06-15 17:43:43.954238,2021-06-15 17:43:48.594584,0 days 00:00:04.640346,7.497979322573234,0.0019033844511439492,0.3488212478613406,0.10524284170660038,3.204147531281759,3,5.869927928084916,58,0.28055820854689284,COMPLETE,Random
62,62,0.8075563204087484,1.0451939105987549,2021-06-15 17:43:48.595485,2021-06-15 17:44:44.708129,0 days 00:00:56.112644,1.7896073125976464,4.705067526581017,9.864358313987369,0.0013999644769073759,3.4392184599612907,18,2.375258325509302,319,0.7569552562599811,COMPLETE,Random
63,63,0.8132592815862645,0.8400359153747559,2021-06-15 17:44:44.709070,2021-06-15 17:45:04.173337,0 days 00:00:19.464267,2.5440770684268044,0.0006822090367492096,3.0060986690837788,0.021080500162319077,9.849115003005274,5,4.319047984602659,209,0.3321045806298222,COMPLETE,Random
64,64,0.8710614338558641,0.8767611980438232,2021-06-15 17:45:04.174456,2021-06-15 17:45:23.077312,0 days 00:00:18.902856,0.65190039866031,1.5778664314732475e-06,6.075845889360551,0.32716575633924855,0.5975473252755858,12,5.922780935925366,300,0.3125906509530556,COMPLETE,Random
65,65,0.8249149721298998,0.8786530494689941,2021-06-15 17:45:23.078514,2021-06-15 17:46:11.839046,0 days 00:00:48.760532,1.8359449529186556,3.872026642329301e-06,4.7492430863651,1.0467059323462777e-05,4.396946800990412,7,1.3215561749852094,206,0.9624107750741286,COMPLETE,Random
66,66,0.8133088206154462,0.9552872180938721,2021-06-15 17:46:11.839937,2021-06-15 17:46:55.877886,0 days 00:00:44.037949,8.438669435714074,0.028058530758710322,1.3235010651402246,0.003313331294396001,3.4689229194695415,4,3.6221755888154954,279,0.7410378998942229,COMPLETE,Random
67,67,0.8743192573300804,1.2173759937286377,2021-06-15 17:46:55.879071,2021-06-15 17:48:02.243113,0 days 00:01:06.364042,6.2115467762315335,0.003260202091654496,4.919914837914622,0.08552842911158365,3.0571642003117763,20,2.676441098037657,450,0.9886084492557161,COMPLETE,Random
68,68,0.7839710431262694,0.932830810546875,2021-06-15 17:48:02.244051,2021-06-15 17:48:49.538245,0 days 00:00:47.294194,7.495057178290857,0.00018683548681282925,7.799085799517854,8.528250890322815e-06,3.74757576784556,9,9.580106385900972,411,0.6432479374014204,COMPLETE,Random
69,69,0.7839354967879247,0.885443925857544,2021-06-15 17:48:49.539161,2021-06-15 17:49:26.338773,0 days 00:00:36.799612,4.327513014108673,3.977622547828453e-05,9.039004993466307,0.0002652630065507015,5.565347462324949,13,5.2469932453783485,344,0.504188481738082,COMPLETE,Random
70,70,0.7924769553293832,0.9419541358947754,2021-06-15 17:49:26.339829,2021-06-15 17:50:07.203286,0 days 00:00:40.863457,9.15716874909007,0.00023146980231519704,5.900563672664627,0.000815360233429545,6.890307671778181,2,1.2763174687213459,434,0.9578221747617763,COMPLETE,Random
71,71,0.7924769553293832,1.0669786930084229,2021-06-15 17:50:07.204171,2021-06-15 17:50:59.030937,0 days 00:00:51.826766,7.449128347530619,6.128049798863783e-05,3.3599571028297124,4.770112966773022e-06,5.476046127817753,20,1.6797854939563908,462,0.44004473353717,COMPLETE,Random
